node1,node2,weight
60,39,890
60,41,984
60,0,432
60,62,50
60,63,74
60,75,92
60,79,24
60,44,98
60,43,92
60,72,18
60,55,160
60,45,534
60,46,60
60,73,458
60,65,80
60,64,44
60,76,24
60,68,8
60,56,100
60,67,106
60,66,28
60,37,4
60,58,64
60,48,136
60,59,48
60,61,36
60,26,16
60,54,298
60,53,52
60,52,54
60,71,6
60,40,56
60,42,22
60,32,8
60,77,10
60,49,46
60,51,38
60,29,16
60,50,26
60,57,10
60,3,6
60,69,16
60,74,16
60,47,46
60,28,6
60,11,4
60,12,8
60,15,2
60,16,6
60,10,2
60,2,8
60,27,8
60,34,6
39,41,1578
39,0,1090
39,62,190
39,63,132
39,75,292
39,73,836
39,72,912
39,43,64
39,74,76
39,66,86
39,67,214
39,77,10
39,79,166
39,56,186
39,68,50
39,45,376
39,65,136
39,59,94
39,27,20
39,71,86
39,40,108
39,42,4
39,28,80
39,61,58
39,32,18
39,29,20
39,76,34
39,55,56
39,44,68
39,69,38
39,25,4
39,1,2
39,58,90
39,12,14
39,54,36
39,64,36
39,3,6
39,24,16
39,9,2
39,15,12
39,47,62
39,11,2
39,14,6
39,26,48
39,53,14
39,51,6
39,48,6
39,49,50
39,57,18
39,46,26
39,50,8
39,2,22
39,36,14
39,34,24
39,7,2
39,37,14
39,10,18
39,13,2
39,16,10
39,78,6
39,70,2
39,31,6
41,0,600
41,62,128
41,63,114
41,75,168
41,61,132
41,73,436
41,59,78
41,76,46
41,79,58
41,47,60
41,26,30
41,49,66
41,45,778
41,55,82
41,68,50
41,12,12
41,46,42
41,56,116
41,67,102
41,65,84
41,66,90
41,71,58
41,42,26
41,70,4
41,54,130
41,44,152
41,72,64
41,43,62
41,74,66
41,58,82
41,48,36
41,52,20
41,40,120
41,29,22
41,32,8
41,64,76
41,3,6
41,24,8
41,9,2
41,69,36
41,28,32
41,15,12
41,14,2
41,51,8
41,53,6
41,77,18
41,16,10
41,1,6
41,10,6
41,27,16
41,2,2
41,19,2
41,50,6
41,57,2
41,34,2
0,62,494
0,63,370
0,75,166
0,79,138
0,44,58
0,43,78
0,73,1612
0,68,54
0,72,136
0,59,432
0,76,108
0,46,92
0,28,214
0,26,74
0,64,86
0,45,306
0,55,130
0,77,84
0,56,310
0,54,292
0,14,46
0,1,26
0,65,450
0,29,106
0,78,4
0,12,56
0,67,868
0,66,252
0,13,62
0,34,26
0,27,134
0,58,194
0,16,52
0,2,212
0,7,34
0,74,106
0,57,88
0,24,66
0,3,52
0,25,130
0,42,8
0,71,34
0,61,112
0,15,68
0,36,58
0,48,40
0,52,22
0,50,12
0,6,4
0,5,8
0,69,36
0,40,80
0,9,112
0,33,4
0,37,36
0,8,10
0,4,2
0,10,8
0,53,32
0,32,26
0,47,48
0,51,32
0,49,24
0,11,10
0,31,8
0,19,2
62,63,362
62,72,102
62,57,18
62,14,26
62,68,128
62,65,58
62,56,118
62,67,126
62,59,38
62,66,166
62,58,80
62,71,6
62,28,20
62,73,272
62,15,24
62,43,2
62,45,26
62,64,82
62,1,12
62,75,70
62,74,64
62,61,8
62,16,16
62,77,14
62,69,18
62,26,8
62,76,8
62,38,2
62,10,6
62,11,8
62,54,6
62,29,4
62,24,4
62,3,2
62,40,6
62,47,6
62,49,2
62,17,4
62,37,2
62,9,4
62,55,2
62,36,2
62,46,4
62,2,6
62,12,4
62,7,2
62,70,2
62,33,4
62,27,4
63,73,518
63,65,100
63,66,424
63,59,126
63,67,244
63,58,14
63,68,58
63,72,52
63,74,30
63,64,112
63,56,58
63,76,8
63,45,18
63,15,16
63,43,6
63,28,42
63,26,18
63,69,14
63,44,4
63,14,8
63,57,4
63,32,2
63,47,2
63,61,4
63,49,2
63,1,4
63,70,2
63,79,6
63,8,2
63,25,4
63,40,12
63,27,4
63,13,2
63,4,2
63,54,2
63,46,6
63,71,2
63,16,4
63,55,2
63,7,2
63,75,2
75,58,202
75,73,40
75,61,12
75,27,4
75,56,68
75,32,4
75,45,42
75,55,4
75,1,12
75,72,16
75,44,6
75,46,10
75,79,14
75,40,18
75,67,10
75,77,16
75,66,6
75,12,6
75,54,4
75,59,14
75,28,10
75,57,6
75,26,6
75,69,4
75,36,12
75,37,10
75,65,8
75,24,2
75,10,4
75,2,12
75,15,12
75,76,2
75,29,6
75,74,58
75,49,2
75,71,4
75,64,2
79,44,26
79,43,12
79,47,10
79,73,72
79,26,2
79,49,2
79,77,2
79,56,4
79,34,24
79,27,6
79,72,14
79,76,24
79,65,38
79,55,4
79,45,8
79,59,14
79,61,12
79,74,6
79,67,10
79,15,2
79,46,8
79,36,2
79,68,2
79,71,6
79,78,2
79,40,2
79,29,4
79,32,2
44,43,44
44,45,190
44,64,16
44,76,16
44,65,4
44,73,20
44,55,12
44,74,18
44,61,18
44,58,18
44,26,2
44,67,10
44,71,30
44,50,12
44,51,14
44,56,6
44,42,16
44,28,2
44,48,2
44,2,2
44,66,4
44,69,8
44,15,2
44,16,2
44,46,2
44,54,6
44,29,4
44,32,2
44,4,2
43,72,4
43,45,58
43,64,10
43,76,32
43,28,2
43,71,8
43,65,18
43,67,32
43,69,10
43,68,2
43,40,4
43,55,8
43,49,2
43,66,6
43,73,14
43,27,4
43,59,10
43,36,6
43,47,4
43,74,2
43,42,10
43,2,2
43,34,6
43,56,8
43,48,22
43,52,2
43,54,14
43,30,2
43,53,4
67,11,12
67,66,124
67,12,50
67,64,118
67,65,420
67,73,470
67,59,38
67,72,16
67,28,36
67,55,6
67,76,36
67,69,24
67,74,76
67,68,34
67,9,8
67,45,42
67,56,8
67,26,18
67,58,2
67,46,6
67,61,12
67,57,8
67,54,8
67,49,10
67,70,14
67,14,4
67,50,8
67,77,8
67,24,8
67,32,4
67,47,8
67,51,4
67,2,10
67,29,10
67,40,8
67,27,8
67,36,4
67,42,2
67,71,8
67,34,4
67,48,2
68,74,10
68,73,60
68,72,90
68,65,12
68,58,4
68,69,134
68,45,14
68,71,14
68,59,2
68,66,8
68,61,18
68,64,8
68,28,8
68,70,12
68,32,4
68,47,2
68,56,12
68,16,4
68,15,2
68,54,6
68,55,2
68,27,2
68,12,2
68,24,2
68,26,2
74,56,22
74,57,4
74,11,12
74,1,4
74,73,120
74,55,16
74,54,20
74,52,12
74,48,4
74,61,10
74,12,10
74,66,12
74,9,6
74,45,18
74,47,2
74,49,4
74,65,36
74,64,10
74,46,2
74,72,16
74,28,12
74,26,2
74,14,24
74,77,14
74,76,6
74,16,2
74,15,8
74,2,10
74,29,28
74,69,4
74,37,2
74,32,8
74,42,2
74,40,10
74,27,2
74,7,2
74,59,10
74,70,2
74,71,4
74,4,8
74,3,2
74,24,2
74,58,6
74,25,4
74,34,4
11,73,64
11,1,2
11,72,22
11,61,2
11,40,2
11,28,4
11,37,4
11,65,8
11,76,2
11,12,6
11,29,2
11,14,8
11,64,2
11,66,2
73,72,256
73,59,660
73,61,64
73,56,116
73,47,30
73,26,72
73,49,14
73,28,286
73,27,122
73,55,100
73,65,396
73,58,54
73,77,68
73,66,220
73,48,46
73,13,14
73,16,20
73,15,50
73,54,68
73,76,86
73,45,176
73,64,134
73,24,24
73,1,8
73,69,22
73,2,6
73,25,34
73,40,20
73,57,42
73,29,12
73,32,18
73,46,38
73,14,74
73,50,8
73,70,2
73,52,16
73,53,18
73,37,30
73,36,28
73,34,26
73,3,10
73,9,10
73,71,10
73,12,2
73,10,4
73,51,6
73,78,2
73,7,4
73,19,2
73,42,4
72,65,18
72,28,42
72,71,14
72,55,10
72,61,52
72,56,58
72,57,12
72,54,20
72,58,14
72,48,8
72,52,4
72,45,46
72,15,10
72,59,24
72,24,14
72,64,4
72,3,2
72,9,4
72,69,48
72,40,4
72,47,6
72,14,18
72,53,4
72,37,16
72,77,16
72,12,8
72,26,6
72,49,10
72,32,2
72,70,2
72,76,2
72,36,2
70,61,14
70,28,12
70,37,2
70,64,4
70,31,2
70,56,8
70,65,8
70,46,2
70,47,2
70,45,2
70,12,2
70,9,2
70,76,2
70,69,2
61,56,48
61,71,80
61,65,40
61,55,4
61,57,6
61,16,2
61,15,6
61,45,72
61,26,4
61,58,26
61,28,18
61,12,14
61,6,2
61,51,2
61,14,6
61,76,12
61,69,12
61,9,6
61,64,20
61,32,2
61,59,12
61,34,2
61,46,2
61,29,8
61,7,6
61,24,4
